s,Winding_numbers
100_B_TDay2_positions.csv,21.53579782
101_A_TDay2_positions.csv,21.17109215
102_A_TDay2_positions.csv,22.39525481
103_A_TDay2_positions.csv,17.59107546
104_A_TDay2_positions.csv,11.10192885
105_A_TDay2_positions.csv,17.38112946
106_A_TDay2_positions.csv,22.4243545
107_A_TDay2_positions.csv,24.71069265
108_A_TDay2_positions.csv,9.098559513
109_B_TDay2_positions.csv,27.45493047
10_B_TDay1_positions.csv,23.92453971
110_B_TDay2_positions.csv,2.472397793
111_B_TDay2_positions.csv,8.16972547
112_B_TDay2_positions.csv,12.26287648
113_B_TDay2_positions.csv,8.071387715
114_B_TDay2_positions.csv,4.356376939
115_B_TDay2_positions.csv,4.066980745
116_B_TDay2_positions.csv,17.09211091
117_B_TDay2_positions.csv,10.69591847
118_B_TDay2_positions.csv,13.28379066
119_A_TDay2_positions.csv,12.60725928
11_A_TDay1_positions.csv,2.795825594
120_A_TDay2_positions.csv,15.7159309
121_A_TDay2_positions.csv,3.077090695
122_A_TDay2_positions.csv,19.53805481
123_A_TDay2_positions.csv,24.870892
124_A_TDay2_positions.csv,4.000384784
125_A_TDay2_positions.csv,16.48361183
126_A_TDay2_positions.csv,13.89208917
127_B_TDay2_positions.csv,19.46238451
128_B_TDay2_positions.csv,8.200700211
129_B_TDay2_positions.csv,16.14654101
12_A_TDay1_positions.csv,26.48406725
130_B_TDay2_positions.csv,2.537981481
131_B_TDay2_positions.csv,9.117181031
132_B_TDay2_positions.csv,2.055093886
133_B_TDay2_positions.csv,9.768722708
134_B_TDay2_positions.csv,3.050288884
135_B_TDay2_positions.csv,15.43407502
136_B_TDay2_positions.csv,18.41546848
137_A_TDay2_positions.csv,16.22514493
138_A_TDay2_positions.csv,4.742130954
139_A_TDay2_positions.csv,20.1636773
13_A_TDay1_positions.csv,18.02532472
140_A_TDay2_positions.csv,15.81942455
141_A_TDay2_positions.csv,23.74420468
142_A_TDay2_positions.csv,22.04690334
143_A_TDay2_positions.csv,10.36584295
144_A_TDay2_positions.csv,13.07964848
145_B_TDay3_positions.csv,17.44051782
146_B_TDay3_positions.csv,70.77827792
147_B_TDay3_positions.csv,13.85138824
148_B_TDay3_positions.csv,10.50761186
149_B_TDay3_positions.csv,5.598318332
14_A_TDay1_positions.csv,21.77016335
150_B_TDay3_positions.csv,18.15152501
151_B_TDay3_positions.csv,4.38582651
152_B_TDay3_positions.csv,5.500684009
153_B_TDay3_positions.csv,12.47077145
154_B_TDay3_positions.csv,17.42584457
155_A_TDay3_positions.csv,15.37540062
156_A_TDay3_positions.csv,19.9193187
157_A_TDay3_positions.csv,6.063684664
158_A_TDay3_positions.csv,16.39383204
159_A_TDay3_positions.csv,14.7338961
15_A_TDay1_positions.csv,24.16845763
160_A_TDay3_positions.csv,19.86251767
161_A_TDay3_positions.csv,17.06536498
162_A_TDay3_positions.csv,5.90029251
163_B_TDay3_positions.csv,23.37429805
164_B_TDay3_positions.csv,12.28410706
165_B_TDay3_positions.csv,10.69739649
166_B_TDay3_positions.csv,15.22113379
167_B_TDay3_positions.csv,7.8883439
168_B_TDay3_positions.csv,8.026797367
169_B_TDay3_positions.csv,4.68448626
16_A_TDay1_positions.csv,21.4904273
170_B_TDay3_positions.csv,3.737797382
171_B_TDay3_positions.csv,17.00260612
172_B_TDay3_positions.csv,21.39388856
173_A_TDay3_positions.csv,5.165204345
174_A_TDay3_positions.csv,8.627036644
175_A_TDay3_positions.csv,16.4213791
176_A_TDay3_positions.csv,4.434939202
177_A_TDay3_positions.csv,8.120986534
178_A_TDay3_positions.csv,14.44697722
179_A_TDay3_positions.csv,20.07427018
17_A_TDay1_positions.csv,3.049684379
180_A_TDay3_positions.csv,7.460708543
181_B_TDay3_positions.csv,12.50019654
182_B_TDay3_positions.csv,17.05041855
183_B_TDay3_positions.csv,7.212729997
184_B_TDay3_positions.csv,3.760717193
185_B_TDay3_positions.csv,8.758329741
186_B_TDay3_positions.csv,6.196202725
187_B_TDay3_positions.csv,14.84271709
188_B_TDay3_positions.csv,6.340126845
189_B_TDay3_positions.csv,11.65757463
18_A_TDay1_positions.csv,22.45481719
190_B_TDay3_positions.csv,24.04484245
191_A_TDay3_positions.csv,5.718177533
192_A_TDay3_positions.csv,18.68090064
193_A_TDay3_positions.csv,17.78758382
194_A_TDay3_positions.csv,3.878437894
195_A_TDay3_positions.csv,15.98966081
196_A_TDay3_positions.csv,4.576624022
197_A_TDay3_positions.csv,19.20474139
198_A_TDay3_positions.csv,3.775391115
199_B_TDay3_positions.csv,4.642280191
19_B_TDay1_positions.csv,25.04704319
1_B_TDay1_positions.csv,18.60589109
200_B_TDay3_positions.csv,8.444288216
201_B_TDay3_positions.csv,3.023340116
202_B_TDay3_positions.csv,9.756095149
203_B_TDay3_positions.csv,4.66279945
204_B_TDay3_positions.csv,14.77120252
205_B_TDay3_positions.csv,3.93547417
206_B_TDay3_positions.csv,3.551168699
207_B_TDay3_positions.csv,13.86222032
208_B_TDay3_positions.csv,19.52759119
209_A_TDay3_positions.csv,12.02981124
20_B_TDay1_positions.csv,20.0359581
210_A_TDay3_positions.csv,4.93078525
211_A_TDay3_positions.csv,20.52534127
212_A_TDay3_positions.csv,8.426474549
213_A_TDay3_positions.csv,17.14263114
214_A_TDay3_positions.csv,15.5659487
215_A_TDay3_positions.csv,4.225838028
216_A_TDay3_positions.csv,8.910441518
217_B_TDay4_positions.csv,2.742255769
218_B_TDay4_positions.csv,6.291327422
219_B_TDay4_positions.csv,3.976019972
21_B_TDay1_positions.csv,8.910589728
220_B_TDay4_positions.csv,6.475838326
221_B_TDay4_positions.csv,3.344778743
222_B_TDay4_positions.csv,8.762299622
223_B_TDay4_positions.csv,13.70146536
224_B_TDay4_positions.csv,7.302867358
225_B_TDay4_positions.csv,15.37191667
226_B_TDay4_positions.csv,19.34333223
227_A_TDay4_positions.csv,5.305379385
228_A_TDay4_positions.csv,8.379097688
229_A_TDay4_positions.csv,15.2897924
22_B_TDay1_positions.csv,17.4035496
230_A_TDay4_positions.csv,9.417031366
231_A_TDay4_positions.csv,5.243123346
232_A_TDay4_positions.csv,9.533011206
233_A_TDay4_positions.csv,6.356068211
234_A_TDay4_positions.csv,19.15743302
235_B_TDay4_positions.csv,22.10577059
236_B_TDay4_positions.csv,14.56942339
237_B_TDay4_positions.csv,6.934711092
238_B_TDay4_positions.csv,7.309962555
239_B_TDay4_positions.csv,5.591533345
23_B_TDay1_positions.csv,9.331981725
240_B_TDay4_positions.csv,13.46927381
241_B_TDay4_positions.csv,13.64408591
242_B_TDay4_positions.csv,15.66563588
243_B_TDay4_positions.csv,17.50921314
244_B_TDay4_positions.csv,9.668441148
245_A_TDay4_positions.csv,3.464453466
246_A_TDay4_positions.csv,5.923390818
247_A_TDay4_positions.csv,15.6447382
248_A_TDay4_positions.csv,9.279160467
249_A_TDay4_positions.csv,10.7932941
24_B_TDay1_positions.csv,22.23080778
250_A_TDay4_positions.csv,4.7973367
251_A_TDay4_positions.csv,8.384682383
252_A_TDay4_positions.csv,5.479041202
253_B_TDay4_positions.csv,23.78758316
254_B_TDay4_positions.csv,4.179367022
255_B_TDay4_positions.csv,8.435332437
256_B_TDay4_positions.csv,6.907935342
257_B_TDay4_positions.csv,10.74980552
258_B_TDay4_positions.csv,9.905607624
259_B_TDay4_positions.csv,5.352363458
25_B_TDay1_positions.csv,12.31561706
260_B_TDay4_positions.csv,14.97452154
261_B_TDay4_positions.csv,15.80876826
262_B_TDay4_positions.csv,14.60822091
263_A_TDay4_positions.csv,7.940312587
264_A_TDay4_positions.csv,15.72537564
265_A_TDay4_positions.csv,17.23544641
266_A_TDay4_positions.csv,5.223808596
267_A_TDay4_positions.csv,7.935482649
268_A_TDay4_positions.csv,3.618172676
269_A_TDay4_positions.csv,17.77499817
26_B_TDay1_positions.csv,21.3509467
270_A_TDay4_positions.csv,15.40481957
271_B_TDay4_positions.csv,3.56054231
272_B_TDay4_positions.csv,4.043068248
273_B_TDay4_positions.csv,3.211904437
274_B_TDay4_positions.csv,9.404601589
275_B_TDay4_positions.csv,2.807109161
276_B_TDay4_positions.csv,11.66874525
277_B_TDay4_positions.csv,3.888586305
278_B_TDay4_positions.csv,5.539243914
279_B_TDay4_positions.csv,8.818348368
27_B_TDay1_positions.csv,34.10549129
280_B_TDay4_positions.csv,11.40064388
281_A_TDay4_positions.csv,11.12145039
282_A_TDay4_positions.csv,9.887208452
283_A_TDay4_positions.csv,16.23193649
284_A_TDay4_positions.csv,16.17442697
285_A_TDay4_positions.csv,5.009761265
286_A_TDay4_positions.csv,8.21698581
287_A_TDay4_positions.csv,10.45187411
288_A_TDay4_positions.csv,7.185460034
289_B_TDay5_positions.csv,2.731750066
28_B_TDay1_positions.csv,23.43332686
290_B_TDay5_positions.csv,2.614655421
291_B_TDay5_positions.csv,3.099619904
292_B_TDay5_positions.csv,9.045573466
293_B_TDay5_positions.csv,6.048609823
294_B_TDay5_positions.csv,10.37224681
295_B_TDay5_positions.csv,3.91587814
296_B_TDay5_positions.csv,4.303736935
297_B_TDay5_positions.csv,4.993715502
298_B_TDay5_positions.csv,4.420269205
299_A_TDay5_positions.csv,4.510809762
29_A_TDay1_positions.csv,24.48579359
2_B_TDay1_positions.csv,16.70267233
300_A_TDay5_positions.csv,5.822610684
301_A_TDay5_positions.csv,14.64606862
302_A_TDay5_positions.csv,5.436905446
303_A_TDay5_positions.csv,6.589132689
304_A_TDay5_positions.csv,4.304173277
305_A_TDay5_positions.csv,5.730836113
306_A_TDay5_positions.csv,2.602215405
307_B_TDay5_positions.csv,19.3635603
308_B_TDay5_positions.csv,6.496373017
309_B_TDay5_positions.csv,6.971200342
30_A_TDay1_positions.csv,23.19395905
310_B_TDay5_positions.csv,17.32466098
311_B_TDay5_positions.csv,10.42066574
312_B_TDay5_positions.csv,18.8901397
313_B_TDay5_positions.csv,17.51304174
314_B_TDay5_positions.csv,4.504023729
315_B_TDay5_positions.csv,8.023418279
316_B_TDay5_positions.csv,3.856943496
317_A_TDay5_positions.csv,4.150111337
318_A_TDay5_positions.csv,7.259456147
319_A_TDay5_positions.csv,16.34305822
31_A_TDay1_positions.csv,28.30139955
320_A_TDay5_positions.csv,8.535535654
321_A_TDay5_positions.csv,4.2330048
322_A_TDay5_positions.csv,4.052364537
323_A_TDay5_positions.csv,9.347216273
324_A_TDay5_positions.csv,8.119219626
325_B_TDay5_positions.csv,20.59953265
326_B_TDay5_positions.csv,7.182359464
327_B_TDay5_positions.csv,4.477643211
328_B_TDay5_positions.csv,5.711948507
329_B_TDay5_positions.csv,11.67551284
32_A_TDay1_positions.csv,28.29505284
330_B_TDay5_positions.csv,3.607581186
331_B_TDay5_positions.csv,6.397647888
332_B_TDay5_positions.csv,8.227486625
333_B_TDay5_positions.csv,9.83035427
334_B_TDay5_positions.csv,8.913988974
335_A_TDay5_positions.csv,19.62366607
336_A_TDay5_positions.csv,12.2910121
337_A_TDay5_positions.csv,15.09456716
338_A_TDay5_positions.csv,7.228126752
339_A_TDay5_positions.csv,19.89967241
33_A_TDay1_positions.csv,23.46694277
340_A_TDay5_positions.csv,4.121974966
341_A_TDay5_positions.csv,10.63052646
342_A_TDay5_positions.csv,8.475410085
343_B_TDay5_positions.csv,24.07202077
344_B_TDay5_positions.csv,17.03124426
345_B_TDay5_positions.csv,9.546291
346_B_TDay5_positions.csv,3.440464298
347_B_TDay5_positions.csv,4.948701029
348_B_TDay5_positions.csv,5.403867933
349_B_TDay5_positions.csv,5.508642697
34_A_TDay1_positions.csv,19.19604208
350_B_TDay5_positions.csv,9.481087232
351_B_TDay5_positions.csv,6.179525688
352_B_TDay5_positions.csv,5.872818372
353_A_TDay5_positions.csv,8.261158524
354_A_TDay5_positions.csv,8.242703381
355_A_TDay5_positions.csv,10.16703437
356_A_TDay5_positions.csv,5.025261464
357_A_TDay5_positions.csv,6.685868799
358_A_TDay5_positions.csv,11.86678801
359_A_TDay5_positions.csv,5.772322765
35_A_TDay1_positions.csv,24.5625301
360_A_TDay5_positions.csv,6.054839022
361_B_TProbe_D5_positions.csv,22.59762381
362_B_TProbe_D5_positions.csv,15.10141085
363_B_TProbe_D5_positions.csv,18.05973097
364_B_TProbe_D5_positions.csv,17.68491333
365_B_TProbe_D5_positions.csv,21.18057182
366_B_TProbe_D5_positions.csv,22.44763473
367_B_TProbe_D5_positions.csv,20.89265235
368_B_TProbe_D5_positions.csv,18.52296618
369_B_TProbe_D5_positions.csv,19.64505383
36_A_TDay1_positions.csv,7.033318679
370_B_TProbe_D5_positions.csv,18.92648429
371_A_TProbe_D5_positions.csv,19.10513546
372_A_TProbe_D5_positions.csv,17.89282824
373_A_TProbe_D5_positions.csv,15.20597062
374_A_TProbe_D5_positions.csv,19.29528035
375_A_TProbe_D5_positions.csv,19.77124514
376_A_TProbe_D5_positions.csv,18.56419252
377_A_TProbe_D5_positions.csv,19.9525199
378_A_TProbe_D5_positions.csv,14.99200332
379_B_TProbe_D8_positions.csv,21.52679407
37_B_TDay1_positions.csv,30.08733374
380_B_TProbe_D8_positions.csv,16.73796987
381_B_TProbe_D8_positions.csv,17.28441953
382_B_TProbe_D8_positions.csv,12.52421962
383_B_TProbe_D8_positions.csv,17.01502427
384_B_TProbe_D8_positions.csv,23.46061246
385_B_TProbe_D8_positions.csv,18.05636819
386_B_TProbe_D8_positions.csv,14.78639532
387_B_TProbe_D8_positions.csv,18.85745497
388_B_TProbe_D8_positions.csv,15.96682387
389_A_TProbe_D8_positions.csv,17.55030551
38_B_TDay1_positions.csv,19.75188945
390_A_TProbe_D8_positions.csv,16.15311454
391_A_TProbe_D8_positions.csv,15.72319101
392_A_TProbe_D8_positions.csv,20.68325125
393_A_TProbe_D8_positions.csv,16.35912187
394_A_TProbe_D8_positions.csv,15.95593813
395_A_TProbe_D8_positions.csv,19.63475796
396_A_TProbe_D8_positions.csv,16.82134557
39_B_TDay1_positions.csv,19.4421478
3_B_TDay1_positions.csv,2.07695327
40_B_TDay1_positions.csv,24.7240906
41_B_TDay1_positions.csv,18.54815651
42_B_TDay1_positions.csv,28.37792995
43_B_TDay1_positions.csv,16.16209059
44_B_TDay1_positions.csv,6.470412825
45_B_TDay1_positions.csv,24.94833835
46_B_TDay1_positions.csv,12.19228893
47_A_TDay1_positions.csv,24.67535218
48_A_TDay1_positions.csv,3.975657633
49_A_TDay1_positions.csv,6.927926315
4_B_TDay1_positions.csv,21.5326072
50_A_TDay1_positions.csv,20.13996041
51_A_TDay1_positions.csv,10.68103024
52_A_TDay1_positions.csv,21.00631856
53_A_TDay1_positions.csv,24.41502671
54_A_TDay1_positions.csv,19.27305827
55_B_TDay1_positions.csv,10.04759537
56_B_TDay1_positions.csv,14.69852499
57_B_TDay1_positions.csv,14.7622095
58_B_TDay1_positions.csv,4.180321125
59_B_TDay1_positions.csv,3.524175241
5_B_TDay1_positions.csv,21.14292025
60_B_TDay1_positions.csv,0
61_B_TDay1_positions.csv,31.74999999
62_B_TDay1_positions.csv,22.78852749
63_B_TDay1_positions.csv,12.73276968
64_B_TDay1_positions.csv,25.97762424
65_A_TDay1_positions.csv,22.64502559
66_A_TDay1_positions.csv,20.39763547
67_A_TDay1_positions.csv,26.14973896
68_A_TDay1_positions.csv,10.3048958
69_A_TDay1_positions.csv,18.6579143
6_B_TDay1_positions.csv,2.027516972
70_A_TDay1_positions.csv,19.90556943
71_A_TDay1_positions.csv,162.0336167
72_A_TDay1_positions.csv,6.737967297
73_B_TDay2_positions.csv,21.51067058
74_B_TDay2_positions.csv,4.062847548
75_B_TDay2_positions.csv,13.21430396
76_B_TDay2_positions.csv,17.70157214
77_B_TDay2_positions.csv,10.2934632
78_B_TDay2_positions.csv,19.17311979
79_B_TDay2_positions.csv,16.10877415
7_B_TDay1_positions.csv,14.12515818
80_B_TDay2_positions.csv,13.16432955
81_B_TDay2_positions.csv,9.143351008
82_B_TDay2_positions.csv,25.92539918
83_A_TDay2_positions.csv,25.10070167
84_A_TDay2_positions.csv,20.11897634
85_A_TDay2_positions.csv,14.26986141
86_A_TDay2_positions.csv,22.14081797
87_A_TDay2_positions.csv,26.04597262
88_A_TDay2_positions.csv,21.04909112
89_A_TDay2_positions.csv,9.252603172
8_B_TDay1_positions.csv,18.53778648
90_A_TDay2_positions.csv,19.1189576
91_B_TDay2_positions.csv,26.81500599
92_B_TDay2_positions.csv,6.516625537
93_B_TDay2_positions.csv,7.553478517
94_B_TDay2_positions.csv,4.613049323
95_B_TDay2_positions.csv,7.231017023
96_B_TDay2_positions.csv,20.37170019
97_B_TDay2_positions.csv,4.749674485
98_B_TDay2_positions.csv,19.0807997
99_B_TDay2_positions.csv,19.14680829
9_B_TDay1_positions.csv,5.242748126